Age,Experience,Salary
59,39,81675
49,30,65264
35,17,46272
28,9,39193
41,17,52464
59,36,70381
39,20,49888
43,23,58818
31,8,40824
31,12,41865
44,20,51644
56,33,70760
44,20,46759
23,4,27762
42,18,48007
22,2,31332
44,25,61554
50,31,74576
58,39,81088
22,4,34000
41,23,57504
53,35,66987
32,12,44307
42,19,51356
45,21,56813
47,25,55863
48,29,67396
36,12,52063
35,16,48656
23,3,35608
57,38,79050
27,9,38793
41,19,53920
29,8,39662
59,40,78488
38,14,42934
24,6,37322
45,24,61289
34,12,51655
29,8,44396
46,28,74365
22,0,26163
40,17,54761
48,27,63316
27,7,49349
28,4,30758
55,31,63001
34,13,42603
37,18,40980
56,37,71771
24,0,26204
22,0,30751
26,3,35308
24,4,44180
49,31,71952
38,19,49915
46,22,51907
54,31,69659
30,8,32998
56,33,78757
34,15,53897
51,32,66054
35,12,35834
28,10,48769
34,13,45027
43,24,64989
41,18,43627
36,12,41403
38,15,48026
44,24,59034
46,25,57749
45,23,60714
49,31,61861
35,13,44888
21,0,30601
45,24,61372
27,6,40758
29,7,32776
44,20,46329
21,0,36388
28,5,37661
44,22,52657
31,10,49755
37,14,47378
28,4,40696
55,35,72337
55,31,77503
53,32,77176
25,3,32355
59,40,82857
48,27,65626
27,8,46443
29,6,32375
28,8,43030
32,14,52092
54,30,57206
53,33,63683
43,22,46203
44,25,58652
57,33,73187
55,36,80711
42,20,54370
47,28,71743
55,33,62699
21,0,21483
55,31,66922
57,33,71520
34,16,49036
23,2,22062
21,0,29554
25,7,31877
46,27,65748
34,15,49832
59,41,74500
47,23,55030
29,10,36703
35,12,44086
35,12,49175
46,28,58671
33,11,45720
52,30,63348
59,41,75235
52,30,65464
24,0,24823
50,26,58431
57,35,66010
43,20,63823
59,37,74576
35,11,39701
49,29,65869
56,35,71438
33,14,45695
52,32,71470
27,5,39787
42,19,50147
48,30,63120
22,0,28624
26,3,22090
48,27,54824
48,26,68034
40,16,57424
50,32,67154
31,8,42482
48,25,61556
45,22,71794
59,38,81197
53,31,66560
21,0,25222
47,28,55567
33,14,47817
23,1,27418
59,35,64888
26,5,32767
28,10,36592
47,24,67235
29,6,41608
57,35,71960
53,29,72199
44,25,60386
35,16,44893
52,29,72415
52,30,68694
44,23,52413
32,13,44648
59,38,71221
22,0,23086
23,4,39430
57,38,85147
37,17,43407
22,3,36414
22,4,31546
48,26,58764
43,21,52238
57,36,68880
52,28,63842
53,34,66645
21,3,34952
39,18,51348
22,2,31205
46,25,55462
52,31,64316
26,7,42176
52,32,70904
24,3,28712
31,13,46096
37,19,56556
58,36,64852
44,24,61516
25,5,32686
54,32,71252
26,5,32183
42,22,47375
31,13,37462
36,18,51840
53,34,72098
29,9,36278
26,5,39192
36,14,38492
49,27,62069
23,2,26344
40,16,45940
56,33,69836
39,20,49697
46,24,56877
23,3,38631
39,20,51115
40,20,58178
52,28,57951
27,9,43449
53,34,78007
59,37,62041
38,19,48815
21,2,35285
31,12,43384
48,25,61855
45,26,58180
43,23,58032
51,33,68821
50,26,67038
55,34,72072
27,8,41288
36,14,44740
46,27,59961
22,0,27837
21,1,33172
32,10,39895
25,4,36248
57,39,87177
52,30,70355
29,7,36769
55,37,80406
39,18,49559
36,17,40209
23,1,26159
40,22,47046
44,24,57042
53,35,72092
44,24,67182
31,10,43634
28,9,39704
56,38,79747
58,34,59744
40,16,50378
55,32,72254
45,23,50207
55,34,76518
45,27,64092
49,25,57923
38,16,52363
38,14,58153
22,4,35709
55,35,73241
36,18,49303
56,33,65350
53,35,76151
24,6,32919
53,30,66357
34,13,43211
41,23,59994
40,17,52068
28,6,42387
27,7,35849
23,3,32250
37,19,47906
53,32,66178
32,11,45086
42,20,57784
42,24,54189
50,30,70348
58,37,81178
58,40,80067
28,4,44183
47,26,57331
47,24,52576
54,30,57106
41,20,61480
50,30,69271
53,34,70522
48,24,60199
53,31,61572
25,3,45828
39,19,53446
24,3,34146
55,37,78028
37,16,51605
48,28,64719
50,28,59647
49,28,65957
26,4,44210
55,31,73927
57,39,84765
44,20,51443
49,27,57451
51,29,64171
55,36,73478
53,34,76270
41,17,41937
52,29,72447
43,19,52009
53,34,68665
